well_id,component_type,set_depth_md_m,top_interval_m,bottom_interval_m,details
11,Tubing,3400,0,3400,"5.5in Production Tubing"
11,SSSV,350,350,350,"TRSSV, 1/4in control line"
11,Packer,3350,3350,3350,"Hydraulic Set Production Packer"
11,Perforation,,3420,3450,"6 SPF, 120 deg phasing"
22,Tubing,3500,0,3500,"5.5in Production Tubing"
22,SSSV,355,355,355,"TRSSV, 1/4in control line"
22,Packer,3450,3450,3450,"Hydraulic Set Production Packer"
22,Perforation,,3520,3560,"6 SPF, 120 deg phasing"
33,Tubing,3450,0,3450,"5.5in Production Tubing, Chemically/Jet Cleaned for BaSO4 Scale"
33,SSSV,340,340,340,"TRSSV, 1/4in control line"
33,Packer,3400,3400,3400,"Hydraulic Set Production Packer"
33,Perforation,,3470,3500,"6 SPF, 120 deg phasing"
44,Tubing,3900,0,3900,"5.5in Production Tubing"
44,SSSV,400,400,400,"Slickline-Retrievable Insert Valve (Replaced Failed TRSSV)"
44,Packer,3850,3850,3850,"Hydraulic Set Production Packer"
44,Perforation,,3920,3960,"6 SPF, 120 deg phasing"
55,Tubing,4400,0,4400,"5.5in Injection Tubing, Coated"
55,SSSV,380,380,380,"TRSSV, 1/4in control line"
55,Packer,4350,4350,4350,"Hydraulic Set Injection Packer"
55,Perforation,,4420,4480,"6 SPF, 120 deg phasing (Injector)"
666,Tubing,4900,0,4900,"5.5in Production Tubing, Scale blockage present"
666,SSSV,410,410,410,"TRSSV, 1/4in control line (FAILED)"
666,Packer,4850,4850,4850,"Hydraulic Set Production Packer"
666,Perforation,,4910,5000,"Gravel Pack, 12 SPF, 60 deg"
777,Tubing,5100,0,5100,"5.5in Production Tubing, Post Multi-Barrier Remediation"
777,SSSV,415,415,415,"TRSSV, 1/4in control line, Redundant System"
777,Packer,5050,5050,5050,"Hydraulic Set Production Packer, Premium"
777,Perforation,,5120,5180,"Gravel Pack, 12 SPF, 60 deg"
